original_name,tiba_name,tiba_slug,category,emporium_id,image_filename,material,origin,dimensions,thickness,description
Calacatta Paonazzo,Venetian Plume,venetian-plume,Marble,400,WhatsApp_Image_2025-07-21_at_14.27.02_1.jpeg,Marble,Italy,+/- 318 x 199cm,± 2cm,A luminous white marble with bold violet-grey veining that sweeps across the surface like brushstrokes on canvas. Ideal for statement pieces and dramatic focal points.
Golden Raddix,Soleil Radiant,soleil-radiant,Marble,269,Golden_Raddix.jpg,Marble,Turkey,"± 2,880 x 1,540 cm",± 2cm,A warm golden marble laced with honeyed veining and amber undertones. Evokes the glow of late afternoon sun on ancient stone.
Palissandro Classico Extra,Palissandro Regale,palissandro-regale,Marble,362,WhatsApp_Image_2025-07-02_at_13.28.42.jpeg,Marble,Italy,,± 2cm,An extraordinary bookmatched marble in warm taupe and grey tones with flowing linear veins. The quintessence of classical Italian sophistication.
Calacatta Lincoln,Calacatta Sovrano,calacatta-sovrano,Marble,183,CALACATTA_LINCOLN_MARMER.jpg,Marble,Italy,,,A prestigious white marble with bold golden-grey veining that commands attention. Each slab tells a story of geological grandeur.
Arabescato Chorcia,Arabesco Reale,arabesco-reale,Marble,308,Arabescato_Chorcia.jpeg,Marble,Italy,"± 3,050 x 1,280 cm",± 2cm,An Italian masterwork of swirling grey arabesques dancing across a luminous white field. The veining moves like smoke captured in stone.
Arabescato Vagli,Arabesco Nuvola,arabesco-nuvola,Marble,194,ARABESCATO_VAGLI_MARMER_1.jpg,Marble,Italy,"± 2,870 x 1,920 cm",± 2cm,Delicate grey clouds of veining drift across a pristine white ground. A softer expression of the arabescato tradition with ethereal depth.
Statuario Classico Premium,Statuario Maestoso,statuario-maestoso,Marble,374,,Marble,Italy,+/- 250 x 145cm,± 2cm,The pinnacle of Statuario selection with dramatic grey veining on an ice-white canvas. Reserved for the most discerning installations.
Statuario Classico Extra,Statuario Nobile,statuario-nobile,Marble,372,,Marble,Italy,+/- 247 x 140cm,± 2cm,A refined Statuario of exceptional clarity with elegant grey-violet veining. The marble of Renaissance masters brought into the modern age.
Ariston White,Bianco Ariston,bianco-ariston,Marble,13,product-marble-white-large-5.jpg,Marble,Greece,,,"A crystalline white marble of remarkable purity with subtle grey wisps. Clean, luminous, and timelessly elegant."
Sivec White,Bianco Imperiale,bianco-imperiale,Marble,61,product-marble-white-large-7.jpg,Marble,North Macedonia,,,One of the world's purest white marbles with an almost translucent quality. A canvas of absolute serenity for minimalist spaces.
Bianco Gioa,Bianco Gioia Pura,bianco-gioia-pura,Marble,60,product-marble-white-large-9.jpg,Marble,Italy,,,A soft white marble with gentle grey veining that whispers rather than shouts. Brings quiet warmth to contemporary interiors.
White Clara,Clara Bianca,clara-bianca,Marble,355,White_Clara.png,Marble,Turkey,,,A pristine white marble with fine dove-grey veining creating a delicate filigree pattern. Understated beauty for refined surfaces.
Clara White,Clara Candida,clara-candida,Marble,12,White_Clara_Marmer.jpg,Marble,Turkey,,,A luminous white canvas with soft grey movement throughout. Versatile and refined for both classical and contemporary applications.
Bianco Rhino,Rinoceronte Bianco,rinoceronte-bianco,Marble,187,BIANCO_RHINO_MARMER.jpg,Marble,Turkey,,,A robust white marble with distinctive grey patterning that evokes raw natural power. Bold yet sophisticated in character.
Clarissa White,Clarissa Neve,clarissa-neve,Marble,111,Clarisa_White_Marmer.jpg,Marble,Turkey,,,A snow-white marble with the faintest silver threads running through its depths. Purity personified in natural stone.
Bianco Maya,Maya Bianca,maya-bianca,Marble,188,Bianco_Maya_Marmer_1.jpg,Marble,Turkey,,,A warm white marble with flowing grey-beige veins that recall ancient civilizations. Rich in character with an archaeological mystique.
Calacatta Dolomiti,Calacatta delle Alpi,calacatta-delle-alpi,Marble,314,Calacatta_Dolomiti_2.jpg,Marble,Italy,"± 2,890 x 1,890 cm",± 2cm,A majestic Calacatta variant with bold architectural veining against a warm white ground. Carries the grandeur of the Dolomite mountains.
Bianco Marmara,Marmara Perla,marmara-perla,Marble,192,Bianco_Marmara_marmer_1.jpg,Marble,Turkey,,,A creamy white marble with soft grey banding that flows like gentle waves. The warmth of the Marmara Sea captured in stone.
Calacatta Dolomiti Bookmatch,Calacatta Specchio Alpino,calacatta-specchio-alpino,Marble,334,calacatta_dolomiti_book.jpg,Marble,Italy,,± 2cm,A mirror-matched masterpiece revealing symmetrical veining patterns of extraordinary drama. Two slabs united in perfect geological harmony.
Bianco Dolomiti,Dolomiti Candore,dolomiti-candore,Marble,196,BIANCO_DOLOMITI_MARMER_1.jpg,Marble,Turkey,,,A clean white marble with subtle grey undertones and fine crystalline structure. The embodiment of alpine purity.
Zebra White,Zèbre Blanc,zebre-blanc,Marble,205,Zebra_White_edt.jpg,Marble,Turkey,,,Striking parallel bands of white and grey create a rhythmic pattern of mesmerizing regularity. A bold choice for feature walls and statement surfaces.
Elizabeth White,Elisabetta Reale,elisabetta-reale,Marble,10,ELIZABETH_WHITE_MARMER.jpg,Marble,Turkey,,,A regal white marble with graceful grey veining befitting its royal namesake. Timeless elegance for distinguished interiors.
Snow White,Neve Eterna,neve-eterna,Marble,197,Snow_White_Marmer.jpg,Marble,Turkey,,,An immaculate white marble as pure as fresh snowfall. Its crystalline surface catches light with a soft inner luminosity.
White Lilac,Lilla Bianca,lilla-bianca,Marble,200,White_Lilac_Edt.jpg,Marble,Turkey,,,A delicate white marble kissed with the faintest lilac and mauve undertones. Feminine and ethereal with a romantic sensibility.
White Pearl,Perla Celeste,perla-celeste,Marble,204,White_Pearl_Marmer.jpg,Marble,Turkey,,,A lustrous white marble with a pearlescent quality that shimmers under changing light. Soft grey veining adds depth without disruption.
Statuario Venatino Extra,Statuario Venatino Supremo,statuario-venatino-supremo,Marble,354,Statuario_Venatino_Extra.png,Marble,Italy,,,An exceptional Statuario with fine elongated veins of grey and gold on brilliant white. The most refined expression of Carrara's treasures.
Macedonia White,Macedonia Luminosa,macedonia-luminosa,Marble,352,Macedonia_White.png,Marble,North Macedonia,,,A bright white marble with clean aesthetic and minimal veining from the ancient quarries of Macedonia. Serene and contemplative.
Macedonia White 2,Macedonia Cristallo,macedonia-cristallo,Marble,203,Macedonia_White_blok_13445.jpg,Marble,North Macedonia,"+/- 2,720 x 1,820 cm","1,8cm",A second selection from Macedonia's premier quarries offering slightly bolder crystalline character. Pure white with subtle geological whispers.
Calacatta Black Extra,Calacatta Nero Supremo,calacatta-nero-supremo,Marble,335,calacatta_nero_extra_book.jpg,Marble,Italy,,2cm,A dramatic inversion of the classic Calacatta with luminous white veining on deep black ground. Unapologetically bold and theatrically beautiful.
Statuario Premium,Statuario Regio,statuario-regio,Marble,353,Statuario_Premium.png,Marble,Italy,,,A premium grade Statuario with powerful grey veining that flows with architectural purpose. The marble of choice for grand entrances and feature walls.
Athena White,Atena Divina,atena-divina,Marble,350,Athena_White.png,Marble,Greece,,,A Grecian white marble of divine clarity with subtle silver threading. Carries the wisdom and beauty of its mythological namesake.
Columbia White,Colombia Bianca,colombia-bianca,Marble,322,IMG_20230502_140107.jpg,Marble,Turkey,,2cm,A bright white marble with soft grey cloud-like formations drifting across its surface. Fresh and contemporary with natural grace.
Panda White,Panda Imperiale,panda-imperiale,Marble,198,panda_white_2.jpg,Marble,China,"+/- 3,030 x 1,850 cm",2cm,A striking contrast marble with bold black veining on crisp white ground. Graphic and contemporary with undeniable visual impact.
Calacatta Black,Calacatta Notturno,calacatta-notturno,Marble,83,IMG20220816134556.jpg,Marble,Italy,"+/- 3,260 x 1,930 cm",2cm,A dramatic dark marble with white calcite veining that glows against the black depths. Creates an atmosphere of nocturnal sophistication.
Statuario Classico Extra 2,Statuario Classico Secondo,statuario-classico-secondo,Marble,283,IMG20220813095123.jpg,Marble,Italy,"+/- 2,840 x 1,880 cm",2cm,A distinguished Statuario selection with refined veining in soft grey tones. Classical Italian marble craft at its most eloquent.
Palisandro Classico,Palissandro Antico,palissandro-antico,Marble,234,Palisandro_2_edt.jpg,Marble,Italy,"+/- 3,230 x 1,650 cm",2cm,A warm brown marble with elegant linear veining in taupe and cream. Rich and layered like aged rosewood with geological depth.
Calacatta Portogalo,Calacatta Dorato,calacatta-dorato,Marble,252,calacatta_portogalo.jpg,Marble,Portugal,"+/- 2,930 x 1,790 cm",2cm,A warm Calacatta variant with golden-honey veining on a cream-white canvas. Portuguese warmth meets Italian nomenclature in this sun-drenched stone.
Dalmation White,Dalmata Bianco,dalmata-bianco,Marble,286,Dalmatian_white.jpg,Marble,Turkey,"+/- 3,030 x 1,800 cm",2cm,A playful white marble with scattered dark spots and patches creating a distinctive organic pattern. Bold personality for creative installations.
White Thassos,Thassos Diamante,thassos-diamante,Marble,326,THASOS.jpg,Marble,Greece,"± 2,490 x 1,540 cm",2cm,One of the world's most renowned white marbles from the Greek island of Thassos. Crystalline purity with a diamond-like sparkle.
Prada White,Bianco Couture,bianco-couture,Marble,233,prada_white_edt.jpg,Marble,Turkey,"+/- 2,910 x 1,600 cm","1,8 cm",A fashion-forward white marble with sophisticated grey veining that exudes runway elegance. Where haute couture meets natural stone.
Statuario Campanili,Statuario dei Campanili,statuario-dei-campanili,Marble,195,Statuario_Canpanili_Extra_Blok_911-22.jpg,Marble,Italy,"+/- 2,990 x 1,580 cm","1,8cm",A magnificent Statuario with bold dramatic veining reminiscent of Italian bell tower architecture. Monumental in presence and character.
Isabella White,Isabella d'Avorio,isabella-davorio,Marble,325,Isabella.jpg,Marble,Turkey,,± 2cm,A warm ivory-white marble with gentle veining that recalls Renaissance portraiture. Soft and luminous with old-world charm.
Calacatta Nero,Calacatta Oscuro,calacatta-oscuro,Marble,351,Calacatta_Nero.png,Marble,Italy,,,A bold black marble with signature Calacatta-style white veining. The dark twin of Italy's most celebrated marble family.
Angelina White bookmatch,Angelina Specchio,angelina-specchio,Marble,327,Angelina_White_LFT506_Bookmatch.png,Marble,Turkey,± 269 x 189 cm,,A bookmatched white marble creating perfect mirror symmetry with flowing grey veins. Architectural poetry written in stone.
Bianco Olympus,Olimpo Bianco,olimpo-bianco,Marble,255,Bianco_Olympus.jpeg,Marble,Greece,"+/- 3,180 x 1,710 cm","1,8 cm",A white marble from the mythical mountain with silver-grey veining of Olympian grandeur. Fit for the halls of the gods.
Nestos,Nestos Fluviale,nestos-fluviale,Marble,199,Nestos_Marmer_1.jpg,Marble,Greece,"+/- 2,810 x 1,230 cm","1,8 cm",A distinctive grey-brown marble with dramatic white veining that flows like a mountain river. Named for the ancient Greek waterway it evokes.
Bianco Alexandra,Alessandra Reale,alessandra-reale,Marble,272,20220126_160554.jpg,Marble,Turkey,"+/- 2,840 x 1,480 cm",2cm,A noble white marble with refined grey-beige veining creating an aristocratic surface. Quiet confidence in every square centimetre.
Bianco Turco,Bianco d'Anatolia,bianco-danatolia,Marble,185,Bianco_Turco_Marmer_2.jpg,Marble,Turkey,"+/- 2,600 x 1,300 cm",2cm,A warm white marble from Anatolia with soft grey movement and creamy undertones. Ancient land yielding stone of modern relevance.
Statuario Fantastico,Statuario Mirabile,statuario-mirabile,Marble,291,Statuario_Fantastico.jpg,Marble,Italy,"+/- 3,180 x 1,810 cm","1,8 cm",A fantastical Statuario with unusually bold and expressive veining patterns. Where classical Italian marble becomes contemporary art.
Calacatta Gold,Calacatta Aureo,calacatta-aureo,Marble,201,CALACATTA_GOLD_MARMER_1.jpg,Marble,Italy,"± 2,960 x 1,970 cm",± 2cm,The golden crown of the Calacatta family with warm amber and honey veining on brilliant white. The ultimate expression of Italian marble luxury.
Calacatta Corchia,Calacatta Corchia Puro,calacatta-corchia-puro,Marble,184,Calacatta_Chorcia_Marmer_1.jpg,Marble,Italy,,,A refined Calacatta from the Corchia quarries with elegant grey-gold veining. Pure Italian provenance with impeccable geological pedigree.
Angelina White,Angelina Candida,angelina-candida,Marble,267,Angelina_white_LFT_299.jpg,Marble,Turkey,"+/- 2,430 x 1,420 cm",2cm,A graceful white marble with soft flowing veins in silver and grey. Angelic in its purity with a gentle luminous quality.
Golden Marquina,Marquina Dorata,marquina-dorata,Marble,403,,Marble,Spain,,2cm,A rare variant of the famed Marquina with golden calcite veins threading through jet-black depths. Opulent darkness illuminated by precious metallic light.
Ice Black,Nero Glaciale,nero-glaciale,Marble,402,,Marble,Turkey,+/- 289 x 187cm,2cm,A deep black marble with icy white crystalline veining that fractures across the surface. Cold elegance with the drama of a frozen midnight landscape.
Noir Aziza,Aziza Notte,aziza-notte,Marble,221,Noir_Aziza.jpg,Marble,Morocco,,,A rich black marble from North Africa with subtle golden-brown veining. Mysterious and warm like a Marrakech evening.
Serpe Black,Serpente Nero,serpente-nero,Marble,251,SERPE_BLACK.jpg,Marble,Italy,,,A dark marble with sinuous white veining that slithers across the surface like a silver serpent. Dynamic and alive with geological energy.
Snow Black,Neve Nera,neve-nera,Marble,16,snow_black.jpg,Marble,Turkey,,,A deep black marble with scattered white crystalline formations like snowflakes on obsidian. Poetic contrast in mineral form.
Saint Laurent,San Lorenzo Noir,san-lorenzo-noir,Marble,191,Saint_Lauren.jpeg,Marble,Italy,,,A luxurious black marble with dramatic gold veining that speaks of Parisian haute couture. The ultimate in dark sophistication.
Black Beauty,Bellezza Oscura,bellezza-oscura,Marble,247,edt.jpg,Marble,Turkey,"+/- 2,770 x 1,800 cm",2cm,A rich black marble of extraordinary depth with subtle grey undertones. Pure darkness refined to its most beautiful expression.
Black Antique,Antico Nero,antico-nero,Marble,229,Black_Antique_edt.jpg,Marble,Turkey,,,A weathered black marble with warm brown and grey undertones suggesting centuries of patina. Ancient dignity in every surface.
Michael Angelo,Michelangelo Divino,michelangelo-divino,Marble,238,Michael_Angelo_Marmer_edt.jpg,Marble,Turkey,,,A marble worthy of the master sculptor with dramatic veining in grey and white on dark ground. Renaissance grandeur captured in natural stone.
Belgium Black,Belgio Profondo,belgio-profondo,Marble,246,belgium_black.jpg,Marble,Belgium,,,A dense jet-black marble of exceptional purity from Belgian quarries. The deepest black in natural stone with a polished mirror-like finish.
Portoro Silver,Portoro Argento,portoro-argento,Marble,248,H03d410531b074ec2a8efd40e414e910aR.jpg,Marble,Italy,"+/- 2,850 x 1,790 cm",2cm,A prestigious marble combining deep black with silver-grey veining. A cooler interpretation of the legendary Portoro with contemporary allure.
Nero Marquina,Marquina Nobile,marquina-nobile,Marble,281,Nero_marquina_blok_SY973.jpg,Marble,Spain,,,Spain's most celebrated black marble with crisp white calcite veining. A timeless classic of the architectural stone world.
Nero Picaso,Nero Picasso,nero-picasso,Marble,17,NERO_PICASO.jpg,Marble,Turkey,,,A dark marble with abstract white brushstrokes worthy of its artistic namesake. Every slab a unique composition of natural abstraction.
Nepoleon Black,Napoleone Nero,napoleone-nero,Marble,323,Napoleon.jpg,Marble,Turkey,"+/- 1,820 x 1,860 cm",2cm,A commanding black marble with gold and white veining of imperial authority. Conqueror of any space it inhabits.
Saint Laurent 2,San Lorenzo Dorato,san-lorenzo-dorato,Marble,324,SAINT_LAURENT.jpg,Marble,Italy,"± 2,89 x 1,92 cm",2cm,A second selection of the iconic dark marble with even more pronounced golden veining. Parisian opulence elevated to its most expressive form.
Eramosa,Eramosa Seta,eramosa-seta,Marble,190,ERAMOSA_MARMER.jpg,Marble,Canada,,,A distinctive marble with fine linear striations in brown and grey creating a silk-like visual texture. Organic warmth with architectural precision.
Nero Marquina 2,Marquina Secondo,marquina-secondo,Marble,282,Nero_marquina_blok_DSCF31.jpg,Marble,Spain,,,A second selection from Spain's famed Marquina quarries with bolder white veining. Classic black marble with enhanced visual drama.
Black Fantasy,Fantasia Nera,fantasia-nera,Marble,230,Fantasy_Black_edt.jpg,Marble,Turkey,"+/- 2,890 x 1,820 cm",2cm,A dark marble alive with swirling grey and white fantasies across its surface. Where imagination meets geology in dramatic fashion.
Serpegiante Cream,Serpeggiante Crema,serpeggiante-crema,Marble,389,,Marble,Italy,,± 2cm,A warm cream marble with sinuous parallel veining in honey and taupe tones. Flowing linear beauty with Mediterranean warmth.
Serpegiantte Ciocolato,Serpeggiante Cioccolato,serpeggiante-cioccolato,Marble,213,Serpegiantte_Chocolato.jpg,Marble,Italy,"+/- 2,950 x 1,180 cm",2cm,A rich chocolate-brown marble with flowing parallel bands in cream and coffee tones. Indulgent warmth reminiscent of artisanal confections.
Creama CRD,Crema Regia,crema-regia,Marble,392,,Marble,Turkey,+/- 284 x 158cm,± 2cm,A refined cream marble with subtle warm veining and consistent colouring. Understated elegance for surfaces that demand quiet sophistication.
Moon Cream,Chiaro di Luna,chiaro-di-luna,Marble,394,,Marble,Turkey,,± 2cm,A luminous cream marble with the soft glow of moonlight captured in stone. Pale and ethereal with gentle warmth.
Sahama Beige,Sahara Dorato,sahara-dorato,Marble,391,,Marble,Turkey,,± 2cm,A warm beige marble with golden undertones evoking desert sands at golden hour. Timeless warmth for welcoming interiors.
Maranello Beige,Maranello Ambrato,maranello-ambrato,Marble,390,,Marble,Italy,+/- 242 x 142cm,± 2cm,A warm amber-beige marble with subtle movement named for the home of Italian excellence. Refined warmth with sporting pedigree.
Creama Margaretta Premium,Crema Margherita Prima,crema-margherita-prima,Marble,375,,Marble,Turkey,,± 2cm,A premium cream marble with delicate golden veining and warm ivory ground. The finest expression of the Margaretta quarry.
Creama Margaretta Premium 2,Crema Margherita Seconda,crema-margherita-seconda,Marble,376,,Marble,Turkey,,± 2cm,A second premium selection with slightly warmer tones and bolder cream-gold patterning. Consistent quality with individual character.
Sahara Beige,Sahara Miele,sahara-miele,Marble,393,,Marble,Turkey,,± 2cm,A honey-toned beige marble with soft flowing veins recalling desert dunes. Warmth and tranquillity in every surface.
Daino Reale,Daino Imperatore,daino-imperatore,Marble,15,daions_reale_edt.jpg,Marble,Italy,,,A warm beige marble with rich fossil content and golden-brown veining. Ancient marine life preserved in stone of regal bearing.
New Pearl,Perla Nuova,perla-nuova,Marble,212,new_pearl_edt.jpg,Marble,Turkey,,,A luminous cream marble with soft pearlescent quality and gentle beige undertones. Like morning light on oyster shells.
Sofitel Beige,Sofitel d'Or,sofitel-dor,Marble,341,sofitel_beige.png,Marble,Turkey,,,A luxurious beige marble with golden veining suggesting five-star refinement. Warm hospitality expressed in natural stone.
Noble Beige,Nobile Crema,nobile-crema,Marble,328,Noble_beige_blok_DLX070107_1.jpg,Marble,Turkey,± 260 x 195 cm,,A distinguished beige marble with fine gold threading on a warm cream canvas. Aristocratic restraint with natural warmth.
Vanilla Light,Vaniglia Chiara,vaniglia-chiara,Marble,245,Vanila_Light.jpg,Marble,Turkey,"+/- 2,850 x 1,340 cm",2cm,A pale vanilla marble with the softest cream tones and minimal veining. Sweet simplicity for serene contemplative spaces.
Empire Beige,Impero Beige,impero-beige,Marble,211,Empire_Beige_edt.jpg,Marble,Turkey,,,A warm beige marble with golden-brown veining of imperial grandeur. Classic Ottoman aesthetic meets contemporary design sensibility.
